Country,Year_Life_expectancy,Life expectancy,Year_Life_Ladder,Life Ladder,Crime Rate,Year_Unemployment_Rate,Unemployment_Rate,Water_Quality,gdpPerCapita,Cost of Living Index,continent
Afghanistan,2015.0,65.0,2023.0,1.445908546447754,78.4,2023.0,14.39,33.1,332.3758719737382,,Asia
Albania,2015.0,77.8,2023.0,5.444690704345703,45.4,2023.0,11.58,70.0,9109.307390320086,42.1,Europe
Algeria,2015.0,75.6,2022.0,5.538172245025635,51.4,2023.0,11.81,62.0,5698.686085234639,28.9,Africa
Andorra,,,,,,2016.0,3.7,,47560.35050892138,,Europe
Angola,2015.0,52.4,2014.0,3.794837951660156,65.8,2023.0,14.62,22.6,2431.5970627517436,,Africa
Anguilla,,,,,,,,,31024.523907384573,,North America
Antigua and Barbuda,2015.0,76.4,,,,2014.0,11.0,57.5,22682.67713176641,,North America
Argentina,2015.0,76.3,2023.0,6.393228530883789,64.0,2023.0,6.18,67.1,13223.419015147869,29.4,South America
Armenia,2015.0,74.8,2023.0,5.6790900230407715,21.6,2023.0,8.59,77.8,8543.835579587334,41.0,Asia
Aruba,,,,,,2016.0,7.7,,37652.91581070827,,North America
Australia,2015.0,82.8,2023.0,7.024582386016846,46.7,2023.0,3.67,90.5,67021.17305302247,70.2,Oceania
Austria,2015.0,81.5,2023.0,6.635663986206055,27.6,2023.0,5.24,95.8,59302.51808775755,65.1,Europe
Azerbaijan,2015.0,72.7,2023.0,5.213894844055176,31.7,2023.0,5.64,50.2,7618.462550548536,31.2,Asia
Bahamas,2015.0,76.1,,,60.3,,,60.5,35859.97911698228,85.0,North America
"Bahamas, The",,,,,,2023.0,9.2,,,,
Bahrain,2015.0,76.9,2023.0,5.959068298339844,24.2,2023.0,1.16,64.9,29115.46000435581,52.3,Asia
Bangladesh,2015.0,71.8,2023.0,4.113548755645752,62.5,2023.0,5.06,32.6,2622.4749657183024,22.5,Asia
Barbados,2015.0,75.5,,,46.6,2023.0,7.95,59.0,24296.643501718783,76.6,North America
Belarus,2015.0,72.3,2019.0,5.821453094482422,51.4,2023.0,3.57,76.2,7623.968995329425,26.4,Europe
Belgium,2015.0,81.1,2023.0,6.943598747253418,48.9,2023.0,5.51,88.7,55814.222918867345,61.1,Europe
Belize,2015.0,71.0,2014.0,5.955646514892578,52.3,2023.0,8.26,49.7,7902.712241531438,,North America
Benin,2015.0,60.0,2023.0,4.419834136962891,,2023.0,1.45,20.9,1477.66323024055,,Africa
Bermuda,,,,,,2017.0,7.0,,116746.08577263444,,North America
Bhutan,2015.0,69.8,2015.0,5.082128524780273,,2023.0,5.65,40.0,3929.129123058808,,Asia
Bolivia,,,2023.0,5.859886169433594,62.0,2023.0,3.08,47.7,3974.2856452353526,27.6,South America
Bolivia (Plurinational State of),2015.0,77.0,,,,,,,,,
