name,slug,%,date_of_information,ranking,region
"Qatar","qatar","0.13","2023",1,"Middle East"
"Cambodia","cambodia","0.24","2023",2,"East and Southeast Asia"
"Niger","niger","0.55","2023",3,"Africa"
"Thailand","thailand","0.91","2023",4,"East and Southeast Asia"
"Burundi","burundi","0.93","2023",5,"Africa"
"Falkland Islands (Islas Malvinas)","falkland-islands-islas-malvinas","1","2016",6,"South America"
"Gibraltar","gibraltar","1","2016",7,"Europe"
"Chad","chad","1.08","2023",8,"Africa"
"Isle of Man","isle-of-man","1.1","2017",9,"Europe"
"Cuba","cuba","1.16","2023",10,"Central America and the Caribbean"
"Bahrain","bahrain","1.16","2023",11,"Middle East"
"Laos","laos","1.18","2023",12,"East and Southeast Asia"
"Benin","benin","1.45","2023",13,"Africa"
"Oman","oman","1.46","2023",14,"Middle East"
"Timor-Leste","timor-leste","1.52","2023",15,"East and Southeast Asia"
"Solomon Islands","solomon-islands","1.55","2023",16,"Australia and Oceania"
"Vietnam","vietnam","1.6","2023",17,"East and Southeast Asia"
"Moldova","moldova","1.62","2023",18,"Europe"
"Palau","palau","1.7","2015",19,"Australia and Oceania"
"Tokelau","tokelau","2","2015",20,"Australia and Oceania"
"Togo","togo","2.05","2023",21,"Africa"
"Kuwait","kuwait","2.08","2023",22,"Middle East"
"Faroe Islands","faroe-islands","2.2","2017",23,"Europe"
"Philippines","philippines","2.23","2023",24,"East and Southeast Asia"
"Macau","macau","2.25","2023",25,"East and Southeast Asia"
"Tonga","tonga","2.3","2023",26,"Australia and Oceania"
"Liechtenstein","liechtenstein","2.4","2015",27,"Europe"
"Cote d'Ivoire","cote-divoire","2.4","2023",28,"Africa"
"Japan","japan","2.58","2023",29,"East and Southeast Asia"
"Czechia","czechia","2.59","2023",30,"Europe"
"Tanzania","tanzania","2.61","2023",31,"Africa"
"Korea, South","korea-south","2.64","2023",32,"East and Southeast Asia"
"Papua New Guinea","papua-new-guinea","2.65","2023",33,"East and Southeast Asia"
"Guatemala","guatemala","2.71","2023",34,"Central America and the Caribbean"
"United Arab Emirates","united-arab-emirates","2.71","2023",35,"Middle East"
"El Salvador","el-salvador","2.76","2023",36,"Central America and the Caribbean"
"Mexico","mexico","2.81","2023",37,"North America"
"Uganda","uganda","2.83","2023",38,"Africa"
"Burma","burma","2.84","2023",39,"East and Southeast Asia"
"British Virgin Islands","british-virgin-islands","2.9","2015",40,"Central America and the Caribbean"
"Poland","poland","2.91","2023",41,"Europe"
"Senegal","senegal","2.93","2023",42,"Africa"
"Liberia","liberia","2.94","2023",43,"Africa"
"Seychelles","seychelles","3","2017",44,"Africa"
"Korea, North","korea-north","3","2023",45,"East and Southeast Asia"
"Mali","mali","3.01","2023",46,"Africa"
"Germany","germany","3.05","2023",47,"Europe"
"Madagascar","madagascar","3.06","2023",48,"Africa"
"Nigeria","nigeria","3.07","2023",49,"Africa"
"Bolivia","bolivia","3.08","2023",50,"South America"
"Ghana","ghana","3.08","2023",51,"Africa"
"Malta","malta","3.13","2023",52,"Europe"
"Sierra Leone","sierra-leone","3.17","2023",53,"Africa"
"Guinea-Bissau","guinea-bissau","3.18","2023",54,"Africa"
"Russia","russia","3.33","2023",55,"Central Asia"
"Ecuador","ecuador","3.37","2023",56,"South America"
"Israel","israel","3.39","2023",57,"Middle East"
"Indonesia","indonesia","3.42","2023",58,"East and Southeast Asia"
"Singapore","singapore","3.47","2023",59,"East and Southeast Asia"
"Ethiopia","ethiopia","3.5","2023",60,"Africa"
"Mozambique","mozambique","3.54","2023",61,"Africa"
"Iceland","iceland","3.56","2023",62,"Europe"
"Netherlands","netherlands","3.56","2023",63,"Europe"
"Belarus","belarus","3.57","2023",64,"Europe"
"Norway","norway","3.58","2023",65,"Europe"
"United States","united-states","3.63","2023",66,"North America"
"Slovenia","slovenia","3.63","2023",67,"Europe"
"Cameroon","cameroon","3.65","2023",68,"Africa"
"Australia","australia","3.67","2023",69,"Australia and Oceania"
"Andorra","andorra","3.7","2016",70,"Europe"
"Taiwan","taiwan","3.73","2019",71,"East and Southeast Asia"
"New Zealand","new-zealand","3.74","2023",72,"Australia and Oceania"
"Malaysia","malaysia","3.86","2023",73,"East and Southeast Asia"
"Hong Kong","hong-kong","3.93","2023",74,"East and Southeast Asia"
"Kyrgyzstan","kyrgyzstan","4.04","2023",75,"Central Asia"
"Switzerland","switzerland","4.05","2023",76,"Europe"
"United Kingdom","united-kingdom","4.06","2023",77,"Europe"
"Turkmenistan","turkmenistan","4.12","2023",78,"Central Asia"
