Country,Capital,Area_km2,Latitude,Longitude
Afghanistan,Kabul,652230.0,34.5281,69.1723
Albania,Tirana,28748.0,41.3275,19.8189
Algeria,Algiers,2381741.0,36.7323,3.0875
American Samoa,Pago Pago,199.0,-14.2781,-170.7025
Andorra,Andorra la Vella,468.0,42.5078,1.5211
Angola,Luanda,1246700.0,-8.8368,13.2343
Anguilla,The Valley,91.0,18.217,-63.0578
Antigua and Barbuda,Saint John's,442.0,17.121,-61.8433
Argentina,Buenos Aires,2780400.0,-34.6131,-58.3772
Armenia,Yerevan,29743.0,40.1811,44.5136
Aruba,Oranjestad,180.0,12.524,-70.027
Australia,Canberra,7692024.0,-35.2835,149.1281
Australia,Perth,7692024.0,-31.9522,115.8614
Austria,Vienna,83871.0,48.2085,16.3721
Azerbaijan,Baku,86600.0,40.3777,49.892
Bahamas,Nassau,13943.0,25.0582,-77.3431
Bahrain,Manama,765.0,26.2279,50.5857
Bangladesh,Dhaka,147570.0,23.7104,90.4074
Barbados,Bridgetown,430.0,13.1073,-59.6202
Belarus,Minsk,207600.0,53.9,27.5667
Belgium,Brussels,30528.0,50.8505,4.3488
Belize,Belmopan,22966.0,17.25,-88.7667
Benin,Porto-Novo,112622.0,6.4965,2.6036
Bermuda,Hamilton,54.0,32.33333333,-64.75
Bhutan,Thimphu,38394.0,27.4661,89.6419
Bolivia,Sucre,1098581.0,-19.0333,-65.2627
Bosnia and Herzegovina,Sarajevo,51209.0,43.8486,18.3564
Botswana,Gaborone,582000.0,-24.6545,25.9086
Brazil,Brasília,8515767.0,-15.7797,-47.9297
British Indian Ocean Territory,Diego Garcia,60.0,-7.1333,72.0667
British Virgin Islands,Road Town,151.0,18.4269,-64.6208
Brunei,Bandar Seri Begawan,5765.0,4.8903,114.9401
Bulgaria,Sofia,110879.0,42.6975,23.3241
Burkina Faso,Ouagadougou,272967.0,12.3657,-1.5339
Burundi,Gitega,27834.0,-3.4271,29.9246
Cambodia,Phnom Penh,181035.0,11.5625,104.916
Cameroon,Yaoundé,475442.0,3.8667,11.5167
Canada,Ottawa,9984670.0,45.4112,-75.6981
Canada,Vancouver,9984670.0,49.2497,-123.1193
Cape Verde,Praia,4033.0,14.9315,-23.5125
Caribbean Netherlands,Kralendijk,328.0,12.15,-68.2667
Cayman Islands,George Town,264.0,19.2866,-81.3744
Central African Republic,Bangui,622984.0,4.3612,18.555
